#ID , Name, Department, Assigned FTE, Number of shifts, Number of day off, Actual worked shifts
1,florinDeleanu,Special,0,0,0,0
2,TomJon,Sales representative,0.2,2,0,2
3,OiJrqwe,Sales representative,1.1,11,0,11
4,urukooo,Depot worker,1.2,12,0,12
5,GodRod,Administration,1.2,12,0,12
6,uruktwooootwo,Depot worker,1,10,0,10
7,urukdrieooodrie,Depot worker,0.5,5,0,5
11,EvaldasDrąsutis,Special,0,0,0,0
22,KwangjinLee,Administration,0.6,6,0,6
23,BopSrBoop,Depot worker,0.2,2,2,0
55,johnLulu,Administration,0.2,2,0,2
99,specialso,Special,0,0,0,0
